revenue,App Usage,months,eqpdays,Mobile,Married,isMale,pcown,Credit Card,Retention Calls,churndep
53.43,13.67,28,91,1,0,0,0,0,1,1
34.22,17.33,26,70,0,1,0,0,1,1,1
30.01,4,25,86,0,1,0,0,1,1,1
38.74,4,24,13,0,0,0,1,1,1,1
52.55,14.33,28,37,1,0,0,1,0,1,1
30.71,6,24,159,0,0,0,1,1,1,1
30.98,4,23,170,1,0,0,0,1,2,1
29.99,0,12,130,1,0,0,0,1,2,1
50,6,23,163,0,1,0,1,1,1,1
25.17,9.67,34,130,1,1,0,0,1,1,1
35.36,3.33,29,67,1,0,0,1,0,2,1
88.06,8.67,15,147,1,0,0,1,1,2,1
35.78,15.67,29,193,1,0,0,1,0,1,1
295.52,11,14,168,1,0,0,1,0,1,1
154.07,0.33,27,72,1,0,0,0,1,1,1
15,0.33,34,71,1,1,0,0,1,1,1
29.99,7,27,116,1,0,0,1,0,1,1
36.4,12.67,30,38,1,0,0,1,0,1,1
37.27,27.33,18,13,0,0,0,1,0,1,1
30.25,2,21,175,0,0,0,1,0,1,1
288.21,81.67,15,157,1,0,0,0,0,1,1
6.49,4.67,24,160,0,0,0,1,1,1,1
56.28,3.33,51,89,0,0,0,0,0,0,1
116.03,9.33,27,99,1,0,0,0,1,1,1
30,4,23,197,0,0,0,0,1,1,1
15.27,2.33,19,66,0,0,0,1,0,1,1
80.26,17,50,60,0,0,0,1,0,0,1
15,2.33,22,152,0,1,0,0,1,1,1
19.27,31,15,17,1,1,0,0,1,2,1
19.6,1.33,23,64,0,0,0,0,1,1,1
68.6,20.33,30,118,1,0,0,0,1,1,1
62.53,19.33,25,41,1,0,0,1,0,1,1
63.5,28.33,31,9,1,1,0,0,1,1,1
60.29,15,20,98,0,1,0,0,1,1,1
43.57,27,26,152,1,1,0,1,0,1,1
63.74,48.33,21,106,0,0,0,0,1,1,1
147.59,53,25,141,1,0,0,1,1,2,1
58.49,41,39,131,0,0,0,0,1,1,1
50.49,21.67,56,161,0,1,0,0,1,0,1
14.19,0,32,77,1,0,0,0,1,2,1
30.49,3.67,52,156,0,0,0,1,0,0,1
4.84,0,21,7,0,1,0,0,1,1,1
186.17,36,17,166,1,0,0,0,0,1,1
24.39,6,13,173,1,1,0,1,1,2,1
41.54,18.67,24,159,1,0,0,1,0,1,1
36.25,0,51,30,0,0,0,1,0,0,1
30,0,55,149,0,1,0,1,1,0,1
30.38,3.33,29,84,1,1,0,0,1,1,1
41.33,2.33,23,142,1,0,0,0,0,1,1
102.82,1,40,18,1,0,0,1,0,2,1
22.49,7,24,128,1,0,0,1,0,1,1
45.39,12.67,34,102,1,1,0,0,1,2,1
40,0.33,48,75,0,0,0,1,0,0,1
45.48,17,21,64,0,1,0,1,0,1,1
16.14,0,55,120,0,1,1,1,1,0,1
17.81,0.33,28,5,1,1,0,0,1,1,1
51.33,3.33,22,18,1,0,0,1,0,1,1
30.73,7,24,90,0,1,0,0,1,1,1
94.97,59.67,24,55,1,0,0,0,1,2,1
5,0,28,165,1,1,0,1,1,1,1
46.96,25.33,23,200,1,0,0,1,0,1,1
170.76,90.33,15,18,1,0,0,0,0,1,1
33.24,3.33,28,182,1,1,1,0,1,1,1
32.53,3.33,27,33,1,0,0,1,1,1,1
29.99,2.33,18,53,0,1,0,1,1,1,1
62.98,7.67,21,106,1,0,0,1,0,1,1
90.25,8.33,54,102,0,0,0,1,0,0,1
10.68,0,19,51,0,0,0,1,1,1,1
51.14,7.33,53,121,0,0,0,1,1,0,1
7.12,0.33,54,28,0,1,0,0,1,0,1
34.63,0,27,199,1,0,0,0,1,1,1
30.2,5,28,170,1,0,0,1,1,1,1
65.56,4.67,25,192,1,0,0,1,1,1,1
60.2,10.67,19,54,1,0,0,1,0,1,1
16.25,31.67,23,56,1,0,0,1,0,1,1
150,0,16,113,1,0,0,1,0,1,1
47.04,1.33,25,197,1,1,0,0,1,1,1
11.68,0,17,117,0,1,0,1,1,1,1
23.5,0,53,155,0,1,0,1,1,0,1
33.74,0,26,4,1,0,0,0,1,1,1
29.98,0,27,97,1,1,0,1,1,1,1
19.05,1.67,52,112,0,0,0,0,1,0,1
53.36,21.67,21,198,1,0,0,1,0,1,1
102.4,23.67,22,180,1,0,0,1,1,1,1
2.54,0,53,15,0,0,0,0,1,0,1
50,0,51,70,0,0,0,0,1,0,1
10,0,27,166,1,0,1,0,1,1,1
35.07,26.67,20,33,1,0,0,1,0,1,1
102.08,18,19,27,1,0,0,0,0,1,1
91.89,55,23,141,1,0,0,1,1,1,1
29.99,1.67,25,158,1,1,1,1,1,1,1
26.64,5.33,16,75,0,0,0,1,1,1,1
40.06,7.33,25,22,1,1,0,1,1,1,1
67.49,2.33,24,29,1,0,0,1,1,1,1
85.09,7.33,33,67,1,0,1,1,1,1,1
26.61,6.67,25,164,1,1,0,0,1,1,1
78.14,43,23,104,1,1,0,0,1,1,1
68.6,35.67,18,73,1,0,0,1,0,1,1
53.26,5,23,79,1,0,0,1,1,1,1
63.48,0,24,33,0,0,1,0,1,1,1
33.07,7,18,48,1,0,0,1,0,1,1
22.6,0,25,196,1,1,0,1,1,1,1
28.47,8,10,127,0,0,0,1,0,1,1
41.09,11,49,91,0,0,0,0,1,0,1
31.8,2.33,15,47,0,1,0,0,1,1,1
5.05,0,20,156,1,0,0,1,0,1,1
11.4,19.67,41,101,1,0,0,1,0,1,1
41.97,4.67,24,174,0,0,0,1,0,1,1
79.56,42.33,49,166,0,1,0,1,1,0,1
166.57,13.67,11,103,0,0,0,0,0,1,1
35.8,2,24,55,1,0,1,1,1,1,1
109.84,37.67,16,100,1,0,0,1,0,1,1
115.59,55.33,22,178,1,0,0,0,1,1,1
29.99,2.67,19,50,1,0,0,1,0,1,1
23.49,3.33,25,184,1,1,0,1,1,1,1
26.24,3,24,177,1,1,0,1,1,1,1
85.59,31.67,21,63,1,0,0,0,1,1,1
30,1.67,50,73,0,1,0,1,1,0,1
78.36,14,16,66,1,0,0,0,0,1,1
32.67,0.67,23,194,1,1,1,1,1,1,1
47.59,17.33,13,46,0,0,0,1,1,1,1
39.25,10,18,23,1,0,0,0,0,1,1
76.99,29.33,18,80,1,0,0,0,0,1,1
17.29,0,45,182,0,0,0,1,0,0,1
38.25,43.33,25,43,1,0,0,0,1,1,1
16.3,8,25,81,1,0,0,1,1,1,1
89.13,0,15,46,1,0,0,0,0,1,1
17.49,0,51,182,0,1,0,1,1,0,1
29.99,2.67,23,103,1,1,0,0,1,1,1
197.09,54.67,14,17,1,1,0,1,1,1,1
89.48,31.67,16,11,1,0,0,1,0,1,1
174.13,0,15,52,1,0,0,0,1,1,1
10,0,24,42,1,0,0,0,1,1,1
75.24,4.33,27,46,1,0,0,0,0,1,1
119.66,59.67,33,32,0,0,0,1,0,1,1
10.09,1,24,56,1,1,0,0,1,1,1
28.36,0,23,140,1,0,0,1,1,1,1
28.45,1.33,26,19,1,0,0,0,1,2,1
63.52,12.67,16,37,1,1,0,1,0,1,1
5,0,20,43,1,0,0,1,0,1,1
29.99,0,44,91,0,0,0,0,0,0,1
34.99,0,44,128,0,0,0,0,0,0,1
36.31,0.33,22,129,1,0,0,0,1,1,1
861.11,0,7,95,1,0,0,1,0,0,1
38.13,2.67,49,40,0,1,0,0,1,0,1
10,0,50,56,0,0,0,0,1,0,1
29.99,1.33,17,144,0,1,0,0,1,1,1
72.2,11,15,127,1,0,0,0,0,1,1
33.81,0,49,98,0,0,0,0,1,0,1
82.91,20.33,21,102,1,0,0,1,1,1,1
52.82,1.67,47,118,0,1,0,1,1,0,1
34.99,12.33,22,70,1,1,0,1,1,1,1
125.39,23.33,12,58,1,0,0,0,0,1,1
26.94,0,48,38,0,0,0,1,1,0,1
20,0.33,49,31,0,0,0,0,1,0,1
26.49,39,22,186,1,1,0,0,1,1,1
34.39,11,22,71,1,1,0,1,1,1,1
21.5,1.33,48,49,0,1,0,1,1,0,1
52.88,23,21,91,1,0,0,1,1,1,1
19.62,0,17,194,1,0,0,0,0,1,1
51.77,19.67,17,4,1,0,0,1,0,1,1
27.21,0,22,173,1,1,0,0,1,1,1
59.95,0,45,63,0,1,0,1,1,0,1
5,0,39,184,0,1,0,1,1,1,1
18.99,2,23,53,1,0,0,1,1,1,1
66.71,13.67,15,162,1,0,0,0,0,1,1
95.8,14.33,24,126,0,0,0,1,1,1,1
135.07,131,18,163,1,0,0,0,1,1,1
60.06,4,30,52,1,0,0,0,1,1,1
25.99,2.67,17,124,1,0,0,1,0,1,1
50,2.33,21,15,1,1,0,1,1,1,1
91.1,57.67,12,121,1,0,0,1,0,1,1
21.55,3.67,48,82,0,1,0,1,1,0,1
190.71,29,29,192,1,1,0,0,1,1,1
65.08,16.67,15,71,1,0,0,0,0,1,1
31.26,8.67,47,69,0,1,0,0,1,0,1
46.64,2,41,180,0,0,0,1,0,0,1
24.23,2,11,178,0,0,0,1,1,1,1
37.76,1.67,21,189,1,0,1,1,1,1,1
29.99,2.67,48,115,0,0,0,1,1,0,1
17.15,0,42,82,0,0,0,1,0,0,1
16.78,0,18,145,1,0,0,1,0,1,1
74.85,0,14,38,1,0,0,0,0,1,1
36.42,0,47,169,0,1,0,1,1,0,1
47.5,24.33,49,140,0,1,0,0,1,0,1
25.59,0,21,158,1,1,0,1,1,1,1
30.26,6.67,21,18,1,1,0,1,1,1,1
136.36,4,10,22,1,1,0,0,0,1,1
2.7,0,23,74,1,0,0,0,1,1,1
60.78,1,44,185,0,1,0,0,1,0,1
29.99,0.67,46,89,0,1,0,1,1,0,1
103.27,2.67,43,140,0,0,0,1,1,0,1
121.96,20.67,11,193,1,0,0,1,0,1,1
101.52,50.33,19,12,1,0,0,0,1,1,1
12.74,0,22,72,1,1,0,1,1,1,1
16.99,0,47,31,0,1,0,1,1,0,1
35.19,49.33,19,130,1,0,0,0,0,1,1
34.99,1,47,177,0,1,0,0,1,0,1
33.72,0,10,179,0,0,0,1,1,1,1
22.49,8.33,20,26,1,0,0,1,1,1,1
30.27,0.33,35,128,0,0,0,1,1,1,1
38.8,10,19,84,1,0,1,0,1,1,1
20.53,0,20,39,1,0,0,1,1,1,1
31.52,0.33,10,185,0,1,0,0,1,1,1
30.1,10.67,26,144,1,1,0,0,1,1,1
50.25,14.67,46,35,0,1,0,0,1,0,1
20.66,12.33,21,132,1,0,1,1,1,1,1
26.73,7.67,46,12,0,1,0,1,1,0,1
51.87,2.67,13,111,1,0,0,1,0,1,1
10,0,17,111,1,0,0,1,0,1,1
40.56,1.33,40,70,0,0,0,0,0,0,1
24.94,0,41,77,0,0,0,1,0,0,1
30.62,7,45,152,0,1,0,0,1,0,1
22.5,10,21,32,1,0,0,0,1,1,1
41.37,21,20,74,1,1,0,0,1,1,1
31.96,1.33,19,197,1,1,1,0,1,1,1
49.87,33,19,186,1,1,0,1,1,1,1
79.58,50.33,12,2,1,0,0,0,0,1,1
48.11,17,40,57,0,0,0,1,0,0,1
74.51,63,14,181,1,0,0,1,0,1,1
20.3,0.67,41,179,0,0,0,0,0,0,1
35.02,12,41,179,0,0,0,1,0,0,1
104.72,32.67,12,195,1,0,0,0,0,1,1
253.47,84.33,28,174,1,1,0,1,0,1,1
15.24,16,18,170,1,0,0,1,0,1,1
54.83,17.67,19,197,1,0,0,0,1,1,1
60.11,43.67,43,67,0,0,0,0,0,1,1
55.81,12.67,13,199,1,0,0,0,0,1,1
54.45,12,13,69,1,0,0,1,0,1,1
36.73,2.67,19,152,1,1,1,1,1,1,1
48.2,3.67,39,98,0,0,0,1,0,0,1
111.26,26.33,16,163,1,0,0,1,1,1,1
71.86,18.33,27,181,0,1,0,0,1,1,1
29.99,0,14,59,1,0,0,0,0,1,1
67.34,62,22,103,1,1,0,1,1,1,1
32.28,2.67,45,157,0,1,0,1,1,0,1
71.76,2.67,17,139,1,0,0,0,1,1,1
12.99,0,25,19,1,0,0,1,0,1,1
22.43,4.33,10,163,0,1,0,0,1,1,1
40.6,2.33,14,123,1,0,0,1,0,1,1
25.79,0,46,171,0,0,0,1,1,0,1
10.24,0,15,197,1,0,0,0,0,1,1
45.24,2.67,38,162,0,0,0,0,0,0,1
61.48,57.33,19,50,1,1,0,1,1,1,1
36.38,10,39,71,0,1,0,1,0,0,1
44.5,6.67,14,180,1,0,0,1,0,1,1
51.53,4,18,82,1,1,0,1,1,1,1
33.5,3,45,26,0,1,1,1,1,0,1
29.99,0.67,45,61,0,0,0,0,1,0,1
8.5,0,41,116,0,1,0,0,0,0,1
16.99,0,58,144,0,1,0,1,1,0,1
50.43,2,18,158,1,1,0,0,1,1,1
159.92,19.67,11,156,1,1,0,0,1,1,1
30.1,0.33,44,171,0,0,0,0,1,0,1
64.27,31.33,13,132,1,0,0,0,0,1,1
72.99,50.67,12,153,1,0,0,1,0,1,1
20.65,1.67,45,192,0,1,0,1,1,0,1
38.74,104,16,88,1,0,0,0,0,1,1
74.99,69,36,149,0,0,0,1,1,1,1
11.68,36.33,41,52,1,0,0,0,0,1,1
19.95,0,45,58,0,1,0,1,1,0,1
49.5,16.67,13,18,1,0,0,0,0,1,1
25.91,0,18,59,1,0,0,0,1,1,1
37.56,22.67,20,117,1,0,0,0,1,1,1
34.91,6.67,13,146,1,0,0,0,0,1,1
25.49,0,45,54,0,1,1,1,1,0,1
17.84,8.33,39,83,0,0,0,1,0,0,1
14.33,0,40,182,0,0,0,0,0,0,1
34.51,3.67,44,133,0,1,0,1,1,0,1
76.05,57.67,45,69,1,0,0,1,0,0,1
53.59,26.33,42,123,0,0,0,1,1,0,1
59.77,16.67,42,152,0,1,0,0,1,0,1
101.1,23.67,15,191,1,0,0,0,1,1,1
56.93,14.33,16,109,1,0,0,1,1,1,1
50.49,15.33,12,115,1,0,0,1,0,1,1
49.55,4.67,12,186,1,0,0,1,0,1,1
55.11,16,12,79,1,0,0,0,0,1,1
29.99,9.33,14,132,1,0,0,1,0,1,1
20.53,1,45,124,0,1,0,0,1,0,1
41.71,10.67,37,139,1,0,0,0,1,2,1
76.37,18.33,11,194,1,0,0,1,0,1,1
93.05,0,14,192,1,0,0,1,1,1,1
40.91,8,18,85,1,0,0,0,1,1,1
122.51,1.67,9,120,1,0,0,1,0,1,1
32.27,10,12,117,1,0,0,0,0,1,1
16.99,0,45,133,0,0,0,0,1,0,1
45.04,63.33,18,14,1,0,0,0,1,1,1
61.04,13,33,54,1,0,0,1,0,1,1
33.25,0,37,19,0,0,0,1,0,0,1
32.45,3,44,157,0,0,0,0,1,0,1
35.09,1.33,13,183,1,0,0,0,0,1,1
39.99,2,17,130,1,1,0,0,1,1,1
50.73,7.67,17,107,1,0,0,0,1,1,1
29.99,48.33,38,65,0,0,0,1,0,0,1
37.59,9.67,17,158,0,1,0,0,1,1,1
26.67,0.67,44,125,0,1,0,0,1,0,1
30.77,0,43,79,0,0,0,1,1,0,1
46.84,18,11,168,1,0,0,0,0,1,1
30.3,0,44,189,0,1,0,0,1,0,1
20.12,14,13,20,1,0,0,0,0,1,1
50.47,20,23,167,1,1,0,1,1,1,1
81.03,112.67,20,142,1,0,0,1,0,1,1
59.91,11.67,41,25,0,1,1,1,1,0,1
50.98,8.67,16,187,1,1,0,1,1,1,1
33.95,0,14,198,1,1,0,0,0,1,1
30.27,0,43,27,0,1,0,1,1,0,1
29.99,2,39,28,0,0,0,1,0,0,1
30.27,0.67,43,21,0,0,0,0,1,0,1
26.24,2.67,12,30,1,0,0,1,0,1,1
63.49,0.33,41,26,0,1,0,1,1,0,1
55.72,2.67,28,51,0,0,0,0,0,1,1
25.18,0,42,145,0,0,0,0,1,0,1
19.99,0,43,168,0,0,0,1,1,0,1
80.19,4.67,14,65,1,0,0,1,1,1,1
52.97,41.67,20,111,1,0,0,1,1,1,1
37.11,10.33,42,154,0,0,0,1,1,0,1
60.11,17.33,11,80,1,0,0,1,0,1,1
30.25,0,42,181,0,0,1,0,1,0,1
31.44,0.67,43,66,0,1,0,1,1,0,1
14.13,7,19,160,1,0,0,1,1,1,1
40.59,6.67,11,10,1,0,0,0,0,1,1
25.2,18,20,37,1,0,0,1,1,1,1
11.62,0.67,45,136,1,0,1,1,1,1,1
62.35,50.33,13,193,1,0,0,1,0,1,1
17.15,0,37,61,0,0,0,1,0,0,1
18.99,17.33,12,53,1,0,0,1,0,1,1
41.46,59.67,24,116,1,0,0,1,0,1,1
24.93,24,19,41,1,0,0,1,1,1,1
39.99,0,12,23,1,0,0,0,0,1,1
41.84,16,12,139,1,0,0,0,0,1,1
37.31,10,16,80,1,0,0,1,1,1,1
66.9,10.33,36,191,0,0,0,0,0,0,1
21.8,3,42,77,0,1,0,1,1,0,1
38.32,22,11,75,1,0,0,1,0,1,1
45.84,12.33,12,23,1,0,0,1,0,1,1
72.6,26.33,16,45,1,0,0,0,1,1,1
74.14,15.33,14,73,1,1,0,0,1,1,1
57.34,0.67,19,63,1,0,0,0,0,1,1
35.1,11.33,38,97,0,0,0,1,0,0,1
5,0,43,49,0,1,0,0,1,0,1
10,0,43,149,0,1,0,0,1,0,1
50.44,0,41,23,0,1,1,0,1,0,1
57.27,31.67,16,176,1,0,0,0,0,1,1
21.31,8.33,43,185,0,0,0,0,1,0,1
86.97,0,39,184,0,0,0,0,1,0,1
16.99,0,42,146,0,0,0,1,1,0,1
22.13,7,13,97,1,0,0,0,0,1,1
50.5,24,21,138,1,0,0,0,0,1,1
30.38,7.67,12,154,1,0,0,0,0,1,1
36.96,0,10,1,1,0,0,0,0,1,1
37.85,119,17,142,1,0,0,0,0,1,1
158.49,42.67,10,160,1,1,1,0,1,1,1
61.65,6,13,76,1,0,0,0,0,1,1
10.6,0,12,29,1,1,0,1,0,1,1
15,0,43,48,0,0,0,1,1,0,1
33.05,0,37,9,0,1,0,1,0,0,1
68.66,88.67,16,60,1,1,0,1,1,1,1
30.1,110,19,146,1,1,0,1,1,1,1
78.43,5.67,19,168,1,0,0,1,0,1,1
29.19,0.67,41,29,0,1,0,0,1,0,1
78.39,32.33,13,27,1,0,0,1,1,1,1
11.9,6.67,11,173,1,0,0,0,0,1,1
38.9,17.67,29,165,1,0,0,1,1,1,1
37.59,27.33,13,68,1,0,0,1,0,1,1
75.9,33.33,45,191,1,0,0,1,1,2,1
84.1,9,39,136,0,1,0,1,1,0,1
30.62,65.67,13,17,1,0,0,1,0,1,1
32.88,4,41,33,0,1,0,1,1,0,1
68.97,47.33,39,56,0,1,0,0,1,1,1
133,63.67,32,31,0,0,0,0,0,0,1
58.59,41.33,37,30,0,0,0,0,0,0,1
33.04,0,41,80,0,1,0,0,1,0,1
52.02,6,36,12,0,0,0,1,0,0,1
29.99,0,41,156,0,1,1,0,1,0,1
33.24,7.33,15,59,1,0,0,0,1,1,1
47.09,19.67,10,7,1,0,0,0,0,1,1
54.34,82,19,151,1,0,1,0,1,1,1
54.31,25,28,35,1,0,0,1,1,1,1
39.85,18.33,10,93,1,0,0,1,0,1,1
94.23,42,13,43,1,1,0,0,1,1,1
42.38,33,17,13,1,0,0,0,1,1,1
16.52,0,41,170,0,0,0,1,1,0,1
82.23,0,33,161,0,0,0,0,0,0,1
33.04,17.33,15,141,1,0,0,1,1,1,1
60.34,33,48,69,0,0,0,1,0,0,1
58.45,26.67,25,153,1,0,0,1,0,1,1
10.1,1.33,12,18,1,0,0,0,0,1,1
35.34,3.67,40,81,0,1,0,0,1,0,1
76.81,0.67,38,57,0,0,0,1,1,0,1
45.43,10.67,47,166,0,0,0,1,1,0,1
40.02,5.33,14,116,1,1,0,0,1,1,1
24.76,2,41,130,0,0,0,0,1,0,1
64.48,6.67,14,138,1,1,0,1,1,1,1
33.66,12.33,41,56,0,1,1,0,1,0,1
31,0,36,59,0,0,0,0,0,0,1
44.5,7.33,19,34,1,0,0,1,1,1,1
34.36,10.33,22,45,1,0,0,0,0,1,1
28.63,0,35,16,0,0,0,0,0,0,1
42.01,9.67,40,8,0,1,1,0,1,0,1
26.17,10.33,15,25,1,1,0,0,1,1,1
24.78,0,41,63,0,0,0,1,1,0,1
21.22,0,15,197,1,0,0,0,1,1,1
42.97,0,39,22,0,0,0,0,1,0,1
21.58,0.67,41,167,0,0,0,1,1,0,1
170.83,94.67,7,82,1,0,0,1,0,1,1
16.15,0,41,182,0,1,0,0,1,0,1
38.04,11.67,35,135,0,0,0,1,0,0,1
24.18,0,19,131,1,0,0,0,1,1,1
38.95,5,40,78,0,1,0,1,1,0,1
36.49,16.67,14,188,1,0,0,1,1,1,1
45.51,22.33,14,82,1,1,0,1,1,1,1
26.24,0,15,146,1,1,0,0,1,1,1
70.21,87,34,104,0,0,0,0,0,0,1
75.31,2.33,12,50,1,1,0,0,1,1,1
26.96,37.33,29,105,1,1,0,1,1,1,1
40.18,13.33,40,31,0,0,0,0,1,0,1
17.15,0,41,160,0,0,0,1,1,0,1
30.74,0.67,14,163,1,0,0,1,1,1,1
54.43,26.67,41,48,0,1,0,0,1,0,1
171.85,57.67,30,56,1,0,0,0,0,1,1
18.83,0.33,35,56,0,0,0,0,0,0,1
5,0,45,154,0,1,0,1,1,0,1
5,0,37,108,0,0,0,1,0,0,1
20.6,0,46,116,1,0,0,1,0,0,1
33.56,5.67,14,91,1,1,0,1,0,1,1
61.45,23,27,16,1,0,0,0,1,1,1
158.96,56.33,7,193,1,0,0,0,0,1,1
156.85,20.67,8,62,1,1,0,0,1,1,1
10.52,0,41,131,0,1,0,1,1,0,1
39.97,3.67,16,145,1,0,0,1,0,1,1
38.05,9,8,5,1,0,0,0,0,1,1
45.48,25.33,14,99,1,0,0,1,1,1,1
44.67,1,13,167,1,0,0,1,1,1,1
8.13,0.67,24,107,1,0,0,1,0,1,1
40.38,60.33,12,49,1,0,0,1,0,1,1
30.49,4,15,185,1,1,1,0,1,1,1
34.53,36.67,11,102,1,0,0,0,0,1,1
63.08,22,20,182,1,1,0,1,1,1,1
36.46,0.67,40,123,0,0,0,1,1,0,1
20.46,0,24,157,1,0,0,0,0,1,1
56.36,16,39,2,0,0,0,1,1,0,1
24.68,75.67,17,132,1,0,0,0,1,1,1
34.99,5.33,40,144,0,0,1,1,1,0,1
10,0,14,26,1,0,0,0,0,1,1
24.59,0.67,41,144,0,0,0,0,1,0,1
30.24,2.33,14,90,1,1,0,1,1,1,1
37.49,0.67,13,51,1,0,0,0,1,1,1
24.99,0,35,41,0,0,0,1,0,0,1
