customer_id,Gender,geo_group,age,Promotion,Channel
SB0000133543,F,North America,19,1,FaceBook
SB0000045571,F,EU,19,1,FaceBook
SB0000062489,M,ROW,51,3,Email
SB0000131428,M,North America,35,1,FaceBook
SB0000111018,F,North America,27,3,Email
SB0000036538,M,North America,33,3,Email
SB0000081833,F,North America,56,2,Email
SB0000055013,M,North America,26,1,Email
SB0000073346,F,EU,36,3,Email
SB0000061746,M,North America,34,1,Email
SB0000099514,F,EU,43,2,Email
SB0000150355,M,ROW,35,2,Email
SB0000133993,F,EU,21,2,Email
SB0000038033,M,EU,58,3,Email
SB0000023087,F,EU,29,3,Email
SB0000103537,M,Asia,37,1,Email
SB0000020170,M,North America,25,1,Email
SB0000081184,F,North America,36,2,Email
SB0000051288,F,Asia,21,2,Email
SB0000120775,M,EU,55,3,Email
SB0000104962,F,EU,32,2,Email
SB0000054820,F,North America,33,3,Email
SB0000057646,F,ROW,41,1,Email
SB0000022040,M,North America,34,3,Email
SB0000113028,M,Asia,32,1,Email
SB0000125300,F,North America,36,2,Email
SB0000041245,M,ROW,34,2,Email
SB0000114762,M,North America,46,3,Email
SB0000038053,M,North America,24,3,Email
SB0000033156,F,ROW,22,3,Email
SB0000094713,M,North America,30,1,Email
SB0000067073,F,North America,46,2,Email
SB0000072664,F,ROW,28,2,Email
SB0000119053,M,North America,44,1,Email
SB0000087550,F,ROW,45,2,Email
SB0000030879,F,ROW,36,1,Email
SB0000108656,M,Asia,29,2,Email
SB0000060716,F,North America,42,3,Email
SB0000060495,M,ROW,35,1,Email
SB0000120646,M,EU,41,1,Email
SB0000029840,M,EU,29,3,Email
SB0000063576,F,Asia,22,3,Email
SB0000124515,F,North America,34,3,Email
SB0000115599,M,North America,40,1,Email
SB0000073188,F,ROW,44,1,Email
SB0000042376,M,Asia,31,2,Email
SB0000041373,M,Asia,36,1,Email
SB0000067641,F,North America,19,1,Email
SB0000024078,M,EU,46,3,Email
SB0000088150,M,ROW,32,2,Email
SB0000042639,M,ROW,36,1,Email
SB0000071921,M,ROW,33,1,Email
SB0000119474,F,ROW,35,1,Email
SB0000136988,M,Asia,30,3,Email
SB0000093071,F,Asia,39,2,Email
SB0000068118,M,North America,42,3,Email
SB0000101149,F,North America,36,2,Email
SB0000048158,F,ROW,28,1,Email
SB0000035252,F,EU,30,3,Email
SB0000097322,M,North America,37,1,Email
SB0000067596,M,ROW,41,1,Email
SB0000025257,F,ROW,31,2,Google
SB0000034622,M,North America,34,3,Email
SB0000114423,M,ROW,34,3,Email
SB0000089266,F,North America,39,2,Google
SB0000022773,F,ROW,39,2,Google
SB0000090173,M,North America,48,1,FaceBook
SB0000047922,F,EU,28,2,Google
SB0000044952,F,ROW,42,1,FaceBook
SB0000113314,M,North America,52,3,Email
SB0000088909,M,North America,56,2,Google
SB0000058876,M,ROW,41,1,FaceBook
SB0000059989,F,ROW,24,3,Email
SB0000069690,M,ROW,34,2,Google
SB0000110161,M,EU,33,1,FaceBook
SB0000143070,F,North America,38,1,FaceBook
SB0000027602,F,North America,25,1,FaceBook
SB0000122940,M,North America,39,3,Email
SB0000082163,F,North America,50,1,FaceBook
SB0000110969,F,North America,34,1,FaceBook
SB0000140028,F,North America,40,1,FaceBook
SB0000082577,M,ROW,48,3,Email
SB0000082986,M,North America,35,2,Google
SB0000016976,F,EU,44,1,FaceBook
SB0000076883,F,North America,34,1,FaceBook
SB0000107143,M,Asia,43,3,Email
SB0000147538,M,Asia,52,2,Google
SB0000053495,M,EU,31,3,Email
SB0000063489,F,ROW,21,2,Google
SB0000015936,F,Asia,29,1,FaceBook
SB0000091287,M,EU,37,1,FaceBook
SB0000105489,F,Asia,44,2,Google
SB0000039931,M,North America,32,3,Email
SB0000125459,M,ROW,32,3,Email
SB0000044620,F,North America,48,3,Email
SB0000060890,M,Asia,42,3,Email
SB0000051006,M,EU,37,3,Email
SB0000042929,F,North America,43,3,Email
SB0000088971,M,EU,57,3,Email
SB0000088599,F,EU,33,1,FaceBook
SB0000042043,M,North America,28,3,Email
SB0000112460,F,EU,24,1,FaceBook
SB0000013208,M,EU,33,3,Email
SB0000031835,F,ROW,22,2,Google
SB0000022879,M,North America,30,3,Email
SB0000150228,F,EU,49,2,Google
SB0000022096,F,ROW,36,2,Google
SB0000029214,M,North America,29,2,Google
SB0000029404,M,ROW,31,3,Email
SB0000141140,M,Asia,24,3,Email
SB0000143965,M,ROW,41,2,Google
SB0000064584,F,North America,39,2,Google
SB0000048728,F,Asia,24,3,Email
SB0000122528,M,ROW,29,2,Google
SB0000034127,F,EU,27,1,FaceBook
SB0000022569,M,Asia,44,1,FaceBook
SB0000024458,M,EU,30,3,Email
SB0000146952,M,Asia,40,2,Google
SB0000067789,M,EU,35,2,Google
SB0000104509,F,EU,30,1,FaceBook
SB0000021432,F,EU,36,3,Email
SB0000089473,F,EU,40,1,FaceBook
SB0000139392,M,ROW,55,1,FaceBook
SB0000115349,M,ROW,45,2,Google
SB0000086868,M,Asia,19,1,FaceBook
SB0000038660,F,ROW,45,1,FaceBook
SB0000025856,M,EU,42,1,FaceBook
SB0000095863,M,North America,50,3,Email
SB0000038145,M,EU,32,3,Email
SB0000038874,F,ROW,39,2,Google
SB0000097758,M,EU,37,2,Google
SB0000022227,M,EU,30,1,FaceBook
SB0000031662,F,North America,34,2,Google
SB0000141650,M,EU,41,2,Google
SB0000129797,M,ROW,36,2,Google
SB0000026438,M,North America,40,1,FaceBook
SB0000109956,F,North America,32,2,Google
SB0000091011,F,EU,29,3,Email
SB0000148967,M,ROW,35,3,Email
SB0000125656,M,EU,32,3,Email
SB0000041623,M,North America,37,2,Google
SB0000017723,M,North America,57,1,FaceBook
SB0000071896,F,North America,35,3,Email
SB0000142895,F,North America,30,2,Google
SB0000073961,M,North America,42,2,Google
SB0000123151,F,North America,50,2,Google
SB0000101396,F,North America,38,3,Email
SB0000104911,F,North America,33,2,Google
SB0000124545,M,North America,37,2,Google
SB0000125806,M,North America,41,3,Email
SB0000088013,M,Asia,34,1,FaceBook
SB0000135860,M,North America,45,3,Email
SB0000120844,F,North America,45,1,FaceBook
SB0000089529,F,EU,33,1,FaceBook
SB0000080551,M,EU,31,1,FaceBook
SB0000059994,M,Asia,41,3,Email
SB0000128434,F,North America,34,3,Email
SB0000090766,F,EU,26,3,Email
SB0000046197,F,North America,47,3,Email
SB0000056360,F,North America,46,2,Google
SB0000069761,M,North America,33,2,Google
SB0000089428,M,EU,43,2,Google
SB0000150884,F,EU,54,1,FaceBook
SB0000048785,M,North America,31,1,FaceBook
SB0000066697,F,North America,30,2,Google
SB0000029132,F,ROW,42,1,FaceBook
SB0000143027,F,North America,33,1,FaceBook
SB0000048366,M,Asia,45,2,Google
SB0000058295,F,North America,37,3,Email
SB0000019707,M,North America,30,2,Google
SB0000141880,M,Asia,39,2,Google
SB0000031109,M,North America,50,1,FaceBook
SB0000127527,M,ROW,29,2,Google
SB0000110658,M,EU,24,2,Google
SB0000032756,F,EU,40,3,Email
SB0000116388,M,EU,37,1,FaceBook
SB0000075610,M,North America,20,2,Google
SB0000073187,M,ROW,19,3,Email
SB0000033318,F,Asia,42,3,Email
SB0000045156,F,EU,29,2,Google
SB0000131092,F,North America,43,3,Email
SB0000102172,M,EU,46,3,Email
SB0000132959,F,North America,28,1,FaceBook
SB0000035063,M,EU,38,1,FaceBook
SB0000130492,M,North America,39,3,Email
SB0000067723,F,EU,37,3,Email
SB0000032277,F,EU,19,3,Email
SB0000127385,F,North America,34,3,Email
SB0000045027,F,North America,40,3,Email
SB0000090184,M,ROW,26,1,FaceBook
SB0000132875,M,North America,26,1,FaceBook
SB0000081263,F,North America,24,2,Google
SB0000074879,F,EU,54,1,FaceBook
SB0000103828,F,EU,36,2,Google
SB0000055920,M,EU,34,1,FaceBook
SB0000123146,M,ROW,24,1,FaceBook
SB0000113522,F,ROW,37,1,FaceBook
SB0000038319,F,ROW,28,3,Email
SB0000014381,F,North America,41,2,Google
SB0000085223,M,Asia,34,3,Email
SB0000058846,M,EU,34,3,Email
SB0000039495,F,North America,30,1,FaceBook
SB0000099179,M,North America,38,3,Email
SB0000141951,F,North America,42,1,FaceBook
SB0000060342,F,North America,48,2,Google
SB0000085725,M,ROW,32,2,Google
SB0000118247,M,North America,26,3,Email
SB0000132548,M,EU,31,2,Google
SB0000137900,M,North America,36,3,Email
SB0000071735,F,North America,34,1,FaceBook
SB0000123496,F,North America,36,1,FaceBook
SB0000041793,M,EU,39,2,Google
SB0000150937,M,EU,35,2,Google
SB0000079595,F,Asia,41,3,Email
SB0000029161,F,North America,34,1,Email
SB0000082362,M,Asia,34,3,Email
SB0000053445,F,EU,30,2,Email
SB0000076056,F,EU,28,1,Email
SB0000040299,M,Asia,37,3,Email
SB0000148288,F,ROW,62,3,Email
SB0000140248,F,EU,53,3,Email
SB0000019641,M,North America,35,1,Email
SB0000022120,M,Asia,46,1,Email
SB0000101174,F,North America,39,3,Email
SB0000147585,M,North America,29,1,Email
SB0000149535,F,ROW,35,1,Email
SB0000026739,M,EU,42,1,Email
SB0000134875,M,ROW,22,3,Email
SB0000060468,F,North America,40,2,Email
SB0000020396,M,North America,29,2,Email
SB0000065404,F,North America,32,3,Email
SB0000130771,M,EU,26,1,FaceBook
SB0000089946,F,EU,34,2,Google
SB0000108797,M,North America,42,1,FaceBook
SB0000023689,F,North America,41,3,Email
SB0000021415,F,ROW,27,1,FaceBook
SB0000070864,M,EU,34,1,FaceBook
SB0000115052,M,North America,38,1,FaceBook
SB0000144091,M,North America,25,3,Email
SB0000118981,F,North America,31,2,Google
SB0000110657,F,North America,44,3,Email
SB0000076689,M,North America,58,2,Google
SB0000070325,M,North America,33,2,Google
SB0000144088,M,North America,31,3,Email
SB0000095832,M,EU,36,2,Google
SB0000099634,M,EU,35,1,FaceBook
SB0000106770,M,EU,33,1,FaceBook
SB0000115987,M,North America,33,2,Google
SB0000035852,M,Asia,31,1,FaceBook
SB0000045675,M,EU,43,3,Email
SB0000039722,M,North America,35,3,Email
SB0000115140,M,North America,50,2,Google
SB0000139765,M,Asia,31,2,Google
SB0000056510,F,EU,24,1,FaceBook
SB0000121804,M,ROW,30,1,FaceBook
SB0000080503,M,ROW,38,2,Google
SB0000094811,M,North America,59,1,FaceBook
SB0000088180,M,North America,36,3,Email
SB0000085752,F,North America,37,2,Google
SB0000138190,F,North America,49,1,FaceBook
SB0000040502,F,EU,42,1,FaceBook
SB0000127190,F,North America,22,3,Email
SB0000023277,M,EU,24,1,FaceBook
SB0000150304,M,North America,57,1,FaceBook
SB0000149447,F,North America,30,1,FaceBook
SB0000077365,F,ROW,40,3,Email
SB0000110403,M,ROW,31,1,FaceBook
SB0000063153,F,North America,30,2,Google
SB0000140899,F,North America,35,3,Email
SB0000099387,F,EU,35,1,FaceBook
SB0000039052,F,North America,46,2,Google
SB0000045916,M,Asia,35,3,Email
SB0000103468,F,Asia,26,1,FaceBook
SB0000132534,F,North America,50,3,Email
SB0000093357,M,EU,40,3,Email
SB0000052242,M,North America,44,3,Email
SB0000041613,M,ROW,30,1,FaceBook
SB0000108731,M,ROW,37,3,Email
SB0000052750,M,EU,29,3,Email
SB0000097626,F,Asia,32,2,Google
SB0000076655,F,North America,33,3,Email
SB0000057425,F,North America,39,3,Email
SB0000093452,M,Asia,39,1,FaceBook
SB0000025368,F,Asia,40,1,FaceBook
SB0000138045,M,EU,31,2,Google
SB0000050884,M,North America,47,1,FaceBook
SB0000093532,M,ROW,22,2,Google
SB0000108174,F,North America,25,3,Email
SB0000045223,F,ROW,43,1,FaceBook
SB0000063290,F,North America,34,3,Email
SB0000144848,F,North America,59,2,Google
SB0000068334,M,ROW,32,3,Email
SB0000044359,M,ROW,39,1,FaceBook
SB0000080936,F,ROW,32,1,FaceBook
SB0000128936,F,North America,39,3,Email
SB0000013189,M,Asia,32,3,Email
SB0000105365,M,North America,25,1,FaceBook
SB0000079384,M,EU,45,2,Google
SB0000038827,F,North America,30,1,FaceBook
SB0000118873,M,Asia,57,3,Email
SB0000072699,F,North America,34,1,FaceBook
SB0000016207,F,North America,41,2,Google
SB0000110489,M,EU,58,1,FaceBook
SB0000055456,F,North America,28,2,Google
SB0000063515,M,North America,45,1,FaceBook
SB0000048440,F,EU,50,2,Google
SB0000047546,M,North America,29,2,Google
SB0000132523,M,North America,19,1,FaceBook
SB0000042705,F,Asia,33,1,FaceBook
SB0000142443,F,EU,42,1,FaceBook
SB0000141610,M,North America,35,2,Google
SB0000089751,M,Asia,34,1,FaceBook
SB0000064666,M,EU,29,1,FaceBook
SB0000075280,F,North America,42,1,FaceBook
SB0000108673,F,EU,24,2,Google
SB0000102587,M,Asia,31,1,FaceBook
SB0000076321,F,ROW,31,2,Google
SB0000138221,M,Asia,35,1,FaceBook
SB0000135732,M,EU,39,2,Google
SB0000072056,M,North America,45,1,FaceBook
SB0000069355,M,North America,35,1,FaceBook
SB0000145743,M,North America,30,3,Email
SB0000049032,F,EU,39,2,Google
SB0000100377,F,EU,50,2,Google
SB0000081613,F,ROW,36,3,Email
SB0000099020,F,North America,30,2,Google
SB0000067777,M,North America,28,2,Google
SB0000142226,M,North America,44,1,FaceBook
SB0000028869,F,EU,19,2,Google
SB0000080049,M,EU,46,1,Google
SB0000074321,M,ROW,62,1,Google
SB0000092814,M,ROW,45,1,Google
SB0000133896,F,Asia,21,1,Google
SB0000105072,F,North America,29,3,Google
SB0000052333,F,ROW,38,3,Google
SB0000130846,M,North America,46,2,Google
SB0000027477,M,ROW,38,2,Google
SB0000019843,F,North America,24,3,Google
SB0000121008,F,ROW,37,3,Google
SB0000040758,F,North America,33,2,Google
SB0000029502,F,ROW,32,1,Google
SB0000050636,M,Asia,39,1,Google
SB0000063119,F,EU,19,2,Google
SB0000099850,M,North America,52,3,Google
SB0000017914,M,North America,38,2,Google
SB0000058684,F,Asia,52,1,Google
SB0000130786,F,North America,36,1,Google
SB0000103514,M,Asia,23,1,Google
SB0000146687,F,North America,36,2,Google
SB0000112524,F,North America,49,3,Google
SB0000027098,F,North America,37,1,Google
SB0000147317,M,ROW,37,3,Email
SB0000143028,M,North America,41,1,FaceBook
SB0000043768,M,EU,23,1,FaceBook
SB0000114310,F,North America,38,3,Email
SB0000111169,M,ROW,31,3,Email
SB0000128776,F,North America,41,2,Google
SB0000102629,F,North America,35,1,FaceBook
SB0000078346,M,EU,26,2,Google
SB0000081080,M,North America,61,2,Google
SB0000066575,F,North America,39,2,Google
SB0000141293,M,North America,46,1,FaceBook
SB0000085055,M,North America,28,2,Google
SB0000059510,M,EU,60,2,Google
SB0000022378,M,North America,38,3,Email
SB0000139964,M,EU,40,2,Google
SB0000039120,M,North America,35,2,Google
SB0000061281,F,EU,39,1,FaceBook
SB0000064244,F,North America,26,3,Email
SB0000039595,F,Asia,39,3,Email
SB0000135863,M,North America,45,2,Google
SB0000066718,F,ROW,40,3,Email
SB0000106585,M,Asia,40,2,Google
SB0000122579,M,North America,57,1,FaceBook
SB0000095700,F,North America,41,2,Google
SB0000019871,M,North America,33,3,Email
SB0000017760,F,EU,37,2,Google
SB0000116786,M,ROW,33,1,FaceBook
SB0000139162,M,EU,51,3,Email
SB0000055610,F,EU,30,3,Email
SB0000014175,M,ROW,35,1,FaceBook
SB0000090826,M,North America,38,1,FaceBook
SB0000078685,F,EU,42,2,Google
SB0000110502,F,ROW,35,1,FaceBook
SB0000108087,F,ROW,31,1,FaceBook
SB0000033181,M,EU,34,2,Google
SB0000013030,M,EU,46,3,Email
SB0000075413,M,EU,47,3,Email
SB0000124055,F,EU,26,2,Google
SB0000066211,M,North America,37,2,Google
SB0000023899,F,EU,40,1,FaceBook
SB0000091407,F,North America,38,2,Google
SB0000148743,M,North America,47,1,FaceBook
SB0000057312,M,North America,38,1,FaceBook
SB0000092604,M,North America,40,3,Email
SB0000047088,F,ROW,31,1,FaceBook
SB0000090982,F,ROW,44,3,Email
SB0000019625,M,North America,39,1,FaceBook
SB0000045332,F,EU,36,2,Google
SB0000085830,F,North America,33,3,Email
SB0000026263,M,North America,38,3,Email
SB0000146292,M,Asia,43,3,Email
SB0000124744,F,North America,37,1,FaceBook
SB0000014814,M,EU,29,3,Email
SB0000141456,F,North America,39,1,FaceBook
SB0000142079,M,EU,25,2,Google
SB0000125272,M,ROW,32,3,Email
SB0000112137,M,North America,26,3,Email
SB0000033531,M,EU,33,2,Google
SB0000087138,F,Asia,32,3,Email
SB0000038402,F,North America,38,2,Google
SB0000014567,F,EU,35,3,Email
SB0000124393,M,EU,35,2,Google
SB0000123305,F,EU,27,3,Email
SB0000129367,M,ROW,37,3,Email
SB0000056642,F,North America,26,2,Google
SB0000037087,M,ROW,28,1,FaceBook
SB0000068295,M,North America,33,1,FaceBook
SB0000031541,F,ROW,46,3,Email
SB0000069615,M,Asia,31,2,Google
SB0000053876,F,North America,40,2,Google
SB0000137755,F,EU,38,1,FaceBook
SB0000136661,M,EU,29,3,Email
SB0000069675,M,North America,34,2,Google
SB0000061576,F,North America,23,1,FaceBook
SB0000064105,M,North America,37,2,Google
SB0000113019,F,North America,37,2,Google
SB0000065391,M,EU,61,2,Google
SB0000148754,M,Asia,35,3,Email
SB0000144152,F,North America,37,1,FaceBook
SB0000051054,M,ROW,39,1,FaceBook
SB0000107978,M,ROW,30,1,FaceBook
SB0000063896,M,ROW,55,3,Email
SB0000074513,M,North America,29,1,FaceBook
SB0000040966,F,North America,41,2,Google
SB0000042692,M,EU,38,2,Google
SB0000058457,M,ROW,47,1,FaceBook
SB0000150034,M,North America,38,1,FaceBook
SB0000058310,F,North America,36,2,Google
SB0000026597,M,ROW,32,3,Email
SB0000048888,F,North America,40,3,Email
SB0000142888,F,ROW,26,3,Email
SB0000141462,M,North America,58,3,Email
SB0000049944,M,EU,32,3,Email
SB0000105042,F,North America,54,3,Email
SB0000128876,M,EU,60,2,Google
SB0000144410,M,North America,44,2,Google
SB0000132384,M,EU,41,3,Email
SB0000037372,M,North America,31,1,FaceBook
SB0000039539,F,North America,30,1,FaceBook
SB0000043163,F,ROW,40,2,Google
SB0000099845,M,EU,22,2,Google
SB0000086165,F,North America,37,2,Google
SB0000150084,M,Asia,31,2,Google
SB0000144359,F,EU,38,1,FaceBook
SB0000047093,F,EU,34,3,Email
SB0000088387,M,North America,34,2,Google
SB0000073710,F,Asia,51,1,FaceBook
SB0000096104,F,North America,38,1,FaceBook
SB0000092757,M,North America,56,1,FaceBook
SB0000022898,M,Asia,37,2,Google
SB0000023269,M,ROW,48,2,Google
SB0000127796,F,EU,58,1,FaceBook
SB0000099306,M,ROW,35,2,Google
SB0000118409,F,Asia,56,1,FaceBook
SB0000146349,M,Asia,37,3,Email
SB0000092782,F,EU,32,1,FaceBook
SB0000098510,F,EU,48,3,Email
SB0000048500,M,North America,31,2,Google
SB0000094629,M,North America,43,2,Google
SB0000054199,F,North America,26,1,FaceBook
SB0000045093,F,EU,48,1,FaceBook
SB0000058015,M,ROW,30,1,FaceBook
SB0000045425,M,North America,57,1,FaceBook
SB0000080276,M,EU,26,2,Google
SB0000063821,F,North America,32,3,Email
SB0000100794,F,North America,35,1,FaceBook
SB0000111702,F,North America,40,3,Email
SB0000093522,F,North America,59,1,FaceBook
SB0000117620,F,Asia,35,1,FaceBook
SB0000091096,M,North America,34,1,FaceBook
SB0000084352,M,EU,62,3,Email
SB0000070952,F,North America,28,2,Google
SB0000073732,F,ROW,37,3,Email
SB0000070152,M,North America,26,2,Google
SB0000071839,F,North America,42,1,FaceBook
SB0000066790,M,North America,51,1,FaceBook
SB0000116709,F,North America,49,3,Email
SB0000063483,F,North America,44,3,Email
SB0000095963,F,North America,38,1,FaceBook
SB0000072382,F,North America,30,1,FaceBook
SB0000101063,M,ROW,49,1,FaceBook
SB0000013447,F,ROW,24,2,Google
SB0000109127,M,Asia,36,3,Email
SB0000018678,M,ROW,47,3,Email
SB0000021280,M,North America,25,1,FaceBook
SB0000147320,F,EU,34,2,Google
SB0000111164,M,North America,33,1,FaceBook
SB0000038800,F,Asia,51,1,FaceBook
SB0000021734,M,EU,40,2,Google
SB0000114815,F,North America,41,1,FaceBook
SB0000112245,F,North America,53,2,Google
SB0000136365,F,EU,19,1,FaceBook
SB0000104514,F,North America,29,1,FaceBook
SB0000089025,F,North America,61,2,Google
SB0000118277,F,ROW,36,3,Email
SB0000047830,M,North America,46,1,FaceBook
SB0000080853,M,ROW,38,3,Email
SB0000125040,M,North America,36,2,Google
SB0000061556,F,North America,54,2,Google
SB0000063555,M,EU,63,2,Google
SB0000043520,M,North America,31,3,Email
SB0000118171,M,Asia,31,1,FaceBook
SB0000024598,F,North America,44,2,Google
SB0000108827,F,North America,45,3,Email
SB0000061829,M,ROW,35,2,Google
SB0000037401,M,North America,49,1,FaceBook
SB0000019019,M,North America,40,3,Email
SB0000071723,F,EU,27,1,FaceBook
SB0000045768,M,North America,32,3,Email
SB0000016981,F,Asia,30,1,FaceBook
SB0000038495,M,North America,41,2,Google
SB0000028473,F,EU,39,1,FaceBook
SB0000099763,F,EU,36,3,Email
SB0000054395,F,EU,33,1,FaceBook
SB0000018463,F,EU,57,3,Email
SB0000016260,F,North America,30,2,Email
SB0000121338,F,North America,51,3,Email
SB0000147458,M,North America,51,2,Email
SB0000034511,M,North America,53,1,Email
SB0000059129,F,North America,44,1,Email
SB0000017446,M,EU,36,1,Email
SB0000149512,F,North America,47,2,Email
SB0000045403,F,ROW,38,2,Email
SB0000017421,F,EU,38,2,Email
SB0000017796,F,EU,34,3,Email
SB0000080363,M,ROW,32,1,Email
SB0000108432,F,EU,26,1,Email
SB0000075944,M,EU,41,2,Email
SB0000143977,F,North America,43,1,Email
SB0000018187,M,Asia,39,1,Email
SB0000147593,F,EU,57,2,Email
SB0000094104,M,North America,34,3,Email
SB0000103664,F,ROW,43,1,Email
SB0000069215,F,North America,26,2,Email
SB0000093939,F,EU,24,2,Email
SB0000126653,F,Asia,30,2,Email
SB0000041465,F,ROW,37,1,Email
SB0000043830,M,North America,29,3,Email
SB0000146366,F,EU,53,2,Email
SB0000097902,M,Asia,28,3,Email
SB0000025045,M,EU,35,2,Email
SB0000131851,M,EU,51,3,Email
SB0000024984,F,North America,30,2,Email
SB0000050590,F,Asia,27,2,Email
SB0000013024,M,North America,64,2,Email
SB0000115613,F,ROW,38,1,Email
SB0000065126,M,EU,26,1,Email
SB0000032896,F,North America,31,1,Email
SB0000119176,M,North America,39,3,Email
SB0000044956,F,North America,62,1,Email
SB0000027568,M,North America,42,2,Email
SB0000096970,F,North America,37,2,Email
SB0000093557,M,Asia,35,3,Email
SB0000036358,F,North America,40,3,Email
SB0000046579,F,EU,53,3,Email
SB0000037939,M,EU,36,2,Email
SB0000128060,F,EU,48,3,Email
SB0000020124,M,North America,35,3,Email
SB0000046416,M,North America,29,3,Email
SB0000076024,M,North America,49,1,Email
SB0000055265,M,EU,47,3,Email
SB0000053337,M,North America,28,3,Email
SB0000062717,M,EU,61,1,Email
SB0000117799,M,North America,54,3,Email
SB0000076847,M,North America,33,2,Email
SB0000070498,M,North America,44,2,Email
SB0000132055,F,ROW,31,1,Email
SB0000144401,F,EU,51,1,Email
SB0000086649,F,EU,33,3,Email
SB0000101543,M,Asia,48,2,Email
SB0000065498,F,Asia,43,2,Email
SB0000137648,F,ROW,36,2,Email
SB0000146691,M,EU,48,3,Email
SB0000106154,F,North America,29,2,Email
SB0000116950,F,North America,27,2,Email
SB0000016356,M,North America,39,3,Email
SB0000072089,M,EU,39,2,Email
SB0000048752,F,EU,34,1,Email
SB0000033210,F,EU,30,3,Email
SB0000131650,M,North America,38,2,Email
SB0000035914,F,North America,36,2,Email
SB0000104190,F,Asia,38,3,Email
SB0000129454,M,EU,49,1,Email
SB0000021054,F,ROW,52,3,Email
SB0000027706,M,North America,42,2,Email
SB0000018294,F,North America,48,1,Email
SB0000092228,F,North America,31,1,FaceBook
SB0000137634,M,North America,25,1,FaceBook
SB0000073920,F,ROW,25,1,FaceBook
SB0000014143,M,EU,54,3,Email
SB0000024688,M,ROW,64,2,Google
SB0000073882,F,EU,30,3,Email
SB0000075232,M,EU,41,3,Email
SB0000058932,M,North America,57,2,Google
SB0000077043,M,ROW,31,2,Google
SB0000082169,M,North America,46,1,FaceBook
SB0000141360,M,North America,41,3,Email
SB0000107393,M,North America,33,1,FaceBook
SB0000030381,M,ROW,31,3,Email
SB0000115688,M,Asia,29,3,Email
SB0000077486,F,EU,46,2,Google
SB0000099101,F,North America,42,1,FaceBook
SB0000073040,F,Asia,48,3,Email
SB0000101784,F,EU,42,3,Email
SB0000045200,F,ROW,26,1,FaceBook
SB0000107009,M,EU,32,2,Google
SB0000114952,F,ROW,35,1,FaceBook
SB0000076593,M,Asia,39,3,Email
SB0000110938,M,North America,38,1,FaceBook
SB0000092406,M,North America,45,2,Google
SB0000091708,M,ROW,19,3,Email
SB0000104568,F,EU,38,3,Email
SB0000128961,M,Asia,55,2,Google
SB0000060382,M,North America,58,1,FaceBook
SB0000115526,F,Asia,41,1,FaceBook
SB0000084178,M,EU,40,3,Email
SB0000025192,M,Asia,24,3,Email
SB0000109074,M,North America,42,2,Google
SB0000076829,F,EU,31,2,Google
SB0000036194,F,EU,45,3,Email
SB0000027150,F,ROW,51,1,FaceBook
SB0000038226,M,North America,36,2,Google
SB0000039469,F,Asia,27,2,Google
SB0000106855,F,North America,43,1,FaceBook
SB0000124889,M,North America,36,2,Google
SB0000086648,F,Asia,34,1,FaceBook
